№,名称,郵便番号,住所,方書,電話番号,市町村区分,ロタリックス,ロタテック,ＨＩＢ,小児用肺炎球菌,Ｂ型肝炎,四種混合,MR,水痘,日本脳炎,二種混合,子宮頸がん,高齢者インフルエンザ,高齢者肺炎球菌,BCG,経度,緯度
595,野洲クリニック,552-0004,港区夕凪２―１７―１４,辻産業ビル２階,6577-7755,港区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.4513327,34.66097237
596,かもめクリニック,552-0004,港区夕凪２－１６－９,ＡＢＭポートビル４階,4301-7871,港区,,,,,,,,,,,,○,○,,135.4511476,34.6609783
597,かもめクリニック第２,552-0004,港区夕凪２－１７－１４,辻産業夕凪ビル３階,6556-9571,港区,,,,,,,,,,,○,○,○,,135.4513327,34.66097237
598,大沢診療所,552-0005,港区田中１―１３―２８,,6571-0996,港区,○,,○,○,○,○,○,○,○,○,○,○,○,,135.4505275,34.66530937
599,医療法人　南労会松浦診療所,552-0007,港区弁天２―１―３０,,6574-8010,港区,,,,,,,,,,,,○,○,,135.4587927,34.66807143
600,医療法人　三愛会中山整形外科,552-0007,港区弁天４―５―３,,6573-9585,港区,,,,,,○,○,○,○,○,,○,○,,135.4595957,34.6709825
601,医療法人聖愛会山村耳鼻咽喉科,552-0007,港区弁天２―１―８―１１４,,6573-1133,港区,,,,,,,,,,,,○,,,135.4579465,34.66734604
602,医療法人西診療所,552-0007,港区弁天１―２―２―６００,,6577-1400,港区,,,,,,,,,,,,○,○,,135.4610742,34.66994639
603,坂元内科クリニック,552-0007,港区弁天２―１―３６,スカイハイツ１階,4395-7771,港区,,,,,,,,,,,,○,○,,135.4591563,34.66783795
604,溝口内科,552-0007,港区弁天４－６－６,,6576-1223,港区,,,,,,,,,,,○,○,○,,135.4590633,34.67130764
605,医療法人有仁会　香山医院,552-0007,港区弁天４－１５－１４,１階,6573-3000,港区,,,,,,,,,,,,○,○,,135.4560145,34.67086008
606,医療法人陽朋会　太田整形外科クリニック,552-0007,港区弁天１－３－３,クロスシティ弁天町２Ｆ,6576-1800,港区,,,,,,,,,,,,○,,,135.461082,34.6683478
607,医療法人英皐会　介護老人保健施設港さつき苑,552-0007,港区弁天４－１６－１８,,6571-6675,港区,,,,,,,,,,,,○,○,,135.4559849,34.67128366
608,島崎診療所,552-0011,港区南市岡２―１０―１７,松栄ビル２Ｆ,6581-0802,港区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.4669257,34.66616353
609,医療法人緑龍会　内藤医院,552-0012,港区市岡１―１―２６,,6571-1478,港区,,,,,,,,,,,,○,○,,135.4635368,34.66514179
610,医療法人　山田医院,552-0012,港区市岡２―１２―２０,,6571-3501,港区,,,,,,,,,,,,○,○,,135.4571062,34.66154123
611,医療法人小嶋整形外科,552-0012,港区市岡１―２０―８,,6577-7621,港区,,,,,,,,,,,,○,○,,135.4615534,34.66169519
612,医療法人　宏仁会　奥村耳鼻咽喉科,552-0012,港区市岡１－５－２８,,6571-3387,港区,,,,,,,,,,,,○,○,,135.4618275,34.66447883
613,社会福祉法人　秀生会　ザイオン診療所,552-0012,港区市岡１―５―３０,,4395-8080,港区,,,,,,,,,,,,○,○,,135.4621301,34.66437635
614,医療法人ゆうあい会宮岡クリニック,552-0012,港区市岡１―１４―１６,,6571-3506,港区,,,,,,,○,,,,,○,○,,135.4611565,34.66385439
615,大塚医院,552-0012,港区市岡２－６－２１,,6571-0977,港区,,,○,○,○,○,○,○,○,○,○,○,○,○,135.4573724,34.66273396
616,社会福祉法人みなと寮　愛港園診療所,552-0014,港区八幡屋４―８―１,,6571-6231,港区,,,,,,,,,,,,○,,,135.4466171,34.65163114
617,金谷内科医院,552-0014,港区八幡屋２―１５―２１,,6571-5728,港区,,,,,,,○,○,○,○,○,○,○,,135.445102,34.65602376
618,医療法人大奈会やすだ耳鼻咽喉科,552-0014,港区八幡屋１―１０―１３,,6576-8733,港区,,,○,○,,,,,,,,○,,,135.4455734,34.65752382
619,医療法人隆明会　やぎクリニック,552-0014,港区八幡屋１－１１－１０,シカタビル２階,6599-1131,港区,,,,,,,○,,,○,○,○,○,,135.4461945,34.6575727
620,しらはま内科クリニック,552-0014,港区八幡屋１－３－１９,,6573-6322,港区,,,,,,,,,,,,○,○,,135.4476633,34.65814225
621,社会福祉法人みなと寮愛港園,552-0014,港区八幡屋４―８―１,,6571-6231,港区,,,,,,,,,,,,○,,,135.4466171,34.65163114
622,社会福祉法人みなと寮第２愛港園,552-0014,港区八幡屋４―８―１,,6571-5241,港区,,,,,,,,,,,,○,,,135.4466171,34.65163114
623,医療法人　堀井耳鼻咽喉科,552-0015,港区池島１―１―２０,,6572-4658,港区,,,,,,,,,,,,○,,,135.4483496,34.65912842
624,笹尾医院,552-0015,港区池島１―２―１４,,6571-0259,港区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.4482967,34.65854164
625,医療法人喜馬外科,552-0016,港区三先１―１７―４３,,6576-2323,港区,,,,,,,,,,,,○,○,,135.4543957,34.65932086
626,医療法人　鈴木医院,552-0016,港区三先１―１１―２７,,6572-2572,港区,,,○,○,○,○,○,○,○,○,○,○,○,,135.4535315,34.66119537
627,土田クリニック,552-0016,港区三先２―１２―１４,,6571-2678,港区,,,,,,,,,,,○,○,○,,135.4504048,34.65998738
628,医療法人尚信会整形外科河村医院,552-0016,港区三先１―１０―３０,,6575-3737,港区,,,,,,,,,,,,○,○,,135.454576,34.66160615
629,大阪医院,552-0016,港区三先２－１３－２６,,6571-1594,港区,,,,,,,,,,,,○,,,135.4496367,34.65968458
630,谷内医院,552-0016,港区三先２－９－１９,,6571-3467,港区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.4515029,34.6595965
631,賀来医院,552-0021,港区築港１―１４―３１,,6571-2659,港区,,,○,○,○,○,○,○,○,○,,○,○,,135.4343606,34.65363964
632,社会福祉法人秀生会　ザイオン大阪港クリニック,552-0021,港区築港１－９－７,,6576-8801,港区,,,,,,,,,,,,○,○,,135.4363689,34.65341863
633,船員保険大阪健康管理センター,552-0021,港区築港１－８－２２,,6576-1011,港区,,,,,,,,,,,,○,,,135.4349534,34.65384382
634,社会医療法人きっこう会多根介護老人保健施設てんぽーざん,552-0021,港区築港３―４―２５,,6599-1616,港区,,,,,,,,,,,,○,○,,135.4353121,34.6551783
635,医療法人龍神堂会　龍神堂医院,552-0023,港区港晴３―２―７,,6571-0030,港区,○,○,○,○,○,○,○,○,,○,,○,○,,135.4435475,34.6577942
636,古林内科,552-0023,港区港晴３―１―８,,6572-2332,港区,○,○,○,○,○,○,○,○,○,○,,○,○,,135.4449461,34.65837627
637,金田クリニック,552-0023,港区港晴３―１７―１０,,6571-2932,港区,,,,,,○,○,○,○,○,○,○,○,,135.4422052,34.65725716
638,医療法人徳寿会　金山記念クリニック,552-0023,港区港晴１―２―１２,,6573-6163,港区,,,,,,,,,,,,○,○,,135.4437948,34.65676747
639,医療法人　ほのぼの会　にいつクリニック,552-0023,港区港晴１―１―２３,,6571-0549,港区,○,,○,○,○,○,○,○,○,○,○,○,○,,135.4436619,34.65727185
640,北村医院,552-0023,港区港晴２―４―４,,6574-2288,港区,,,,,,,,,,,,○,○,,135.4432832,34.65558232
641,横山医院,551-0001,大正区三軒家西２―１６―２４,,6555-2661,大正区,,,,,,,○,,○,○,,○,○,,135.4756591,34.66456051
642,さいとう整形外科,551-0001,大正区三軒家西１―２―７,,6554-3636,大正区,,,,,,,,,,,,○,○,,135.478855,34.66628215
643,やました皮フ科クリニック,551-0001,大正区三軒家西１―２―７,石原ビル４Ｆ,4394-1112,大正区,,,,,,,,,,,,○,,,135.478855,34.66628215
644,足立医院,551-0001,大正区三軒家西３―６―３,,6555-5276,大正区,,,○,○,,○,○,○,○,○,○,○,○,,135.4739019,34.66450575
645,医療法人邦明会　樫原クリニック,551-0001,大正区三軒家西２－１８－５,,6556-1170,大正区,,,,,,,,,,,○,○,○,,135.4754672,34.66340449
646,医療法人田辺耳鼻咽喉科医院,551-0001,大正区三軒家西１－１６－２,,6551-1901,大正区,,,,,,,,,,,,○,,,135.4783749,34.66577962
647,医療法人　彰療会　大正病院,551-0002,大正区三軒家東５―５―１６,,6552-0621,大正区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.4757598,34.65993521
648,医療法人北新会藤原耳鼻咽喉科医院,551-0002,大正区三軒家東４―１０―３１,,6554-9221,大正区,,,,,,,,,,,,○,,,135.4787325,34.6617121
649,医療法人　考優会　五味クリニック,551-0002,大正区三軒家東１―１９―３,,4394-3800,大正区,,,,,,,,,,○,,○,○,,135.4785468,34.66412228
650,医療法人葵会にしいけクリニック,551-0002,大正区三軒家東６－８－１４,,6551-1000,大正区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.4743013,34.65739047
651,大正すずらんクリニック,551-0002,大正区三軒家東４－５－１２,,6556-2000,大正区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.4768061,34.66208009
652,医療法人彰療会　大正病院附属産婦人科クリニック,551-0002,大正区三軒家東４－６－８,,6551-1103,大正区,,,,,,,,,,,○,,,,135.476561,34.66142262
653,柿原医院,551-0003,大正区千島１―１３―２３,,6551-6100,大正区,,,,,,,,,,,,○,○,,135.4734848,34.6549971
654,医療法人西平診療所,551-0003,大正区千島３―４―２１,,6553-1166,大正区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.4714704,34.6518755
655,中川耳鼻咽喉科クリニック,551-0003,大正区千島３－１４－２３ー１０１－Ａ,,6648-8187,大正区,,,,,,,,,,,,○,,,135.4701282,34.65007538
656,大阪きづがわ医療福祉生活協同組合　たいしょう生協診療所,551-0003,大正区千島１－２０－１２,,6554-1197,大正区,,,○,○,○,○,○,○,○,○,○,○,○,,135.473372,34.65351461
657,医療法人しまもとクリニック,551-0003,大正区千島３－１１－４,,6555-8655,大正区,,,○,○,○,○,○,○,○,○,○,○,○,,135.4715497,34.65091531
658,Ｒ皮膚科クリニック,551-0003,大正区千島２－４－４,パルティちしま１階,6556-4112,大正区,,,,,,,,,,,,○,,,135.4728471,34.65134013
659,医療法人愛信会　介護老人保健施設愛の里,551-0011,大正区小林東２－６－１４,,6555-4165,大正区,,,,,,,,,,,,○,○,,135.4764721,34.64350371
660,医療法人杏山会山北内科クリニック,551-0012,大正区平尾４ー２３ー１３,,6553-0770,大正区,,,○,○,○,○,○,○,○,○,○,○,○,,135.4704514,34.64312556
661,医療法人　良仁会　西村外科,551-0012,大正区平尾４―２２―１５,,6552-2288,大正区,,,,,,○,○,○,,○,○,○,○,,135.4703252,34.6424724
662,小正医院,551-0012,大正区平尾３―１６―１５,,6551-3417,大正区,,,○,○,,○,○,○,○,○,○,○,○,,135.4735948,34.63925914
663,医療法人　一ノ名医院,551-0012,大正区平尾４―２２―１３,,6551-0286,大正区,○,,○,○,○,○,○,○,○,○,○,○,○,,135.4702733,34.64224032
664,山北整形外科,551-0012,大正区平尾４－２３－１４,,6556-3533,大正区,,,,,,,,,,,,○,,,135.4704628,34.64319196
665,医療法人愛信会石村整形外科,551-0013,大正区小林西２―２―５,,6555-4455,大正区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.4701766,34.64410068
666,医療法人社団　みすまるのさと会　アダチ眼科院,551-0021,大正区南恩加島４－６－１３,,6551-6300,大正区,,,,,,,,,,,,○,,,135.468666,34.63436213
667,医療法人健人会　弘田医院,551-0023,大正区鶴町３―９―５,,6551-4455,大正区,,,,,,,,,,,,○,○,,135.4547344,34.64226325
668,医療法人　港南会　金城外科脳神経外科,551-0023,大正区鶴町１―４―６,,6555-0161,大正区,○,,,,○,,○,○,○,○,,○,○,,135.460924,34.63439577
669,医療法人敬英会介護老人保健施設つるまち,551-0023,大正区鶴町２―１５―１８,,6553-6666,大正区,,,,,,,,,,,,○,○,,135.4540074,34.63778371
670,村田小児科,551-0031,大正区泉尾３―１１―２４,プロニティ江川１階,6555-9200,大正区,○,○,○,○,○,○,○,○,○,○,○,,○,○,135.472649,34.65829555
671,医療法人明友会　安井整形外科クリニック,551-0031,大正区泉尾３―１１―２４,プロニティ江川１Ｆ,6551-1181,大正区,,,,,,,,,,,,○,○,,135.472649,34.65829555
672,医療法人西幹会にしもと耳鼻咽喉科,551-0031,大正区泉尾３―１１―１５,,6551-4187,大正区,,,,,,,,,,,,○,○,,135.4723333,34.65793063
673,医療法人吉祥会　藤吉医院,551-0031,大正区泉尾４―１７―１２,東洋プラザ泉尾１階,6552-0810,大正区,,,,,,,,,,,○,○,○,,135.4709307,34.65684231
674,荘田診療所,551-0031,大正区泉尾１―８―１６,,6551-0041,大正区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.4747334,34.66308467
675,マツオ整形外科,551-0031,大正区泉尾３―４―１２,,6551-7800,大正区,,,,,,,,,,,,○,○,,135.473413,34.65761822
676,医療法人北村診療所,551-0031,大正区泉尾３―３―２２,,6551-2250,大正区,,,,,,,,,,,○,○,○,,135.4733063,34.65728124
677,本山診療所,551-0031,大正区泉尾１－２－１９,,6551-3812,大正区,,,○,○,○,○,○,○,○,○,○,○,○,,135.4764248,34.66320351
678,医療法人なごみ会　大正くすのきクリニック,551-0031,大正区泉尾１－３０－５,,6555-0560,大正区,,,,,,,,,,,,○,○,,135.4743255,34.66078167
679,医療法人社団緑会介護老人保健施設エバーグリーン,551-0031,大正区泉尾２―２０―４,,6553-0730,大正区,,,,,,,,,,,,○,○,,135.4712613,34.66069911
680,社会福祉法人　恩賜財団　大阪府済生会　泉尾病院,551-0032,大正区北村３―４―５,,6552-0091,大正区,,,○,○,○,○,○,○,○,○,,○,○,,135.4668683,34.64929756
681,医療法人　光風会　江口医院,551-0032,大正区北村１―１―１,,6552-5156,大正区,,,,,○,,○,,,○,○,○,○,,135.4699952,34.65286371
682,笠井医院,551-0032,大正区北村２－５－１０,,4394-7026,大正区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.4660963,34.65233988
683,医療法人謙和会　ほんしょう内科クリニック,551-0032,大正区北村１－１７－７,,6551-3168,大正区,○,,○,○,○,○,○,○,○,○,○,○,○,,135.4690423,34.65049972
684,社会福祉法人恩賜財団済生会支部大阪府済生会障害者支援施設北村園,551-0032,大正区北村３－５－１０,,6552-8070,大正区,,,,,,,,,,,,○,○,,135.4676322,34.65000028
685,河本レディス・クリニック,543-0001,天王寺区上本町５－７－２５,,6762-5842,天王寺区,,,,,,,,,,,○,,,,135.5199167,34.6676371
686,医療法人上町会ナベヤクリニツク,543-0001,天王寺区上本町６―３―３１―５０５,,6773-0110,天王寺区,,,,,,,,,,,,○,○,,135.5180658,34.66579085
687,医療法人河村クリニック,543-0001,天王寺区上本町５―６―９,,6761-6788,天王寺区,,,,,,,,,,,,○,○,,135.5206923,34.66685724
688,前田クリニック,543-0001,天王寺区上本町６―３―３１,上本町ハイハイタウン４０６,6771-2325,天王寺区,,,,,,,,,,,,○,○,,135.5180658,34.66579085
689,平岡クリニック,543-0001,天王寺区上本町６―３―３１―５０６,,6771-9955,天王寺区,,,,,○,,,,,,,○,○,,135.5180658,34.66579085
690,まゆみクリニック,543-0001,天王寺区上本町８―１―８,川口ビル１階Ｂ号,6773-2021,天王寺区,,,,,,,○,○,,○,,○,○,,135.5190286,34.66091888
691,たかはし乳腺消化器クリニック,543-0001,天王寺区上本町６―２―２２,山崎製煉ビル２階,6767-0621,天王寺区,,,,,,,,,,,○,○,,,135.5195097,34.66659932
692,戸田整形外科,543-0001,天王寺区上本町６－１－８２,,6774-8110,天王寺区,,,,,,,○,,,,,○,,,135.5226286,34.6656247
693,中石医院,543-0001,天王寺区上本町６―２―２６,大和上六ビル２階,6191-7117,天王寺区,,,,,,,,,,,,○,○,,135.5196662,34.66680827
694,医療法人博友会　藤谷クリニック,543-0001,天王寺区上本町６―３―３１―２２８,,6771-5315,天王寺区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.5180658,34.66579085
695,医療法人亥埜クリニック,543-0001,天王寺区上本町６－９－１７,上六日光ビル２階,6773-8700,天王寺区,,,,,,,○,,○,○,○,○,○,,135.5191203,34.66350672
696,医療法人淑蘭会　上本町ヒロミレディースクリニック,543-0001,天王寺区上本町６－６－２６,上六光陽ビル３Ｆ,6777-8824,天王寺区,,,,,,,○,,○,,○,○,○,,135.519472,34.66443526
697,チヒロ皮膚科医院,543-0001,天王寺区上本町６－６－２７,中川ビル２Ｆ,6711-0011,天王寺区,,,,,,,,,,,,○,,,135.5196915,34.66443782
698,医療法人上本町ぼく小児科,543-0001,天王寺区上本町８－２－１,クライス上本町１Ｆ,6775-1053,天王寺区,○,○,○,○,○,○,○,○,○,○,○,,,○,135.5184545,34.6621083
699,医療法人富喜会　おおさき内科クリニック,543-0001,天王寺区上本町６－９－２１,フュージョンプラスビル１階,4303-5010,天王寺区,,,,,○,○,○,○,○,○,○,○,○,,135.5190394,34.66391716
700,カオリ内科・糖尿病クリニック,543-0001,天王寺区上本町５－３－１６,サイネックス本社ビル２Ｆ,6770-5407,天王寺区,,,,,○,,,○,,,,○,○,,135.5197595,34.66790341
701,めぐみ内科ハートクリニック,543-0001,天王寺区上本町６－４－１２,,6779-0522,天王寺区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.518008,34.66477177
702,遠藤クリニック,543-0002,天王寺区上汐５―５―２,,6772-4997,天王寺区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5166437,34.65921108
703,医療法人　たかせ皮フ科,543-0002,天王寺区上汐４―５―３０,,6770-2008,天王寺区,,,,,,,,,,,,○,○,,135.5164426,34.66350768
704,にしみねクリニック,543-0002,天王寺区上汐６－２－１,,6796-8090,天王寺区,,,,,,,○,○,○,○,○,○,○,,135.5156226,34.65901602
705,医療法人瑞穂会　ともの木クリニック,543-0011,天王寺区清水谷町７－９,,6768-8566,天王寺区,,,,,,,,,,,,○,○,,135.5216081,34.67431521
706,こまい腎・泌尿器科クリニック,543-0011,天王寺区清水谷町５－２２,,6796-8881,天王寺区,,,,,,,,,,,,○,○,,135.5216283,34.67567671
707,さの赤ちゃんこどもクリニック,543-0011,天王寺区清水谷町５－２２,Ｈ・Ａ　ＢＬＤＧ３階,6765-8585,天王寺区,○,○,○,○,○,○,○,○,○,○,○,○,,○,135.5216283,34.67567671
708,医療法人瑞穂会介護老人保健施設みずほ倶楽部,543-0011,天王寺区清水谷町５―２７,,6767-2311,天王寺区,,,,,,,,,,,,○,○,,135.5220814,34.67561581
709,脇本産婦人科,543-0012,天王寺区空堀町１－１９,,6761-5537,天王寺区,,,,,,,,,,,○,○,○,,135.5293799,34.67452872
710,こう小児科クリニック,543-0013,天王寺区玉造本町１－７,,6191-1115,天王寺区,,○,○,○,○,○,○,○,○,○,,○,,,135.5308244,34.67430863
711,長谷川耳鼻咽喉科,543-0014,天王寺区玉造元町７－１２,,6767-2484,天王寺区,,,,,,,,,,,,○,,,135.5311258,34.6719322
712,森本医院,543-0014,天王寺区玉造元町２―４,玉造トップス２階,6768-5771,天王寺区,,,,,○,,,○,,,,○,○,,135.5327498,34.67398331
713,特別養護老人ホーム四天王寺たまつくり苑診療所,543-0014,天王寺区玉造元町１―２９,,6763-4115,天王寺区,,,,,,,,,,,,○,,,135.5324493,34.6726406
714,医療法人　中村医院,543-0014,天王寺区玉造元町４―３,,6766-1223,天王寺区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5315095,34.67382473
715,じょうこうクリニック,543-0014,天王寺区玉造元町３－９,八光ビル６階,6796-8585,天王寺区,,,,,,,,,,,,○,○,,135.5322406,34.67270868
716,医療法人誠貴会　湯口脳神経外科・脊髄外科,543-0014,天王寺区玉造元町３－９,八光玉造ビル１階,4305-7421,天王寺区,,,,,,,,,,,,○,,,135.5322406,34.67270868
717,医療法人　元仁会　こすぎ内科クリニック,543-0014,天王寺区玉造元町３－９,八光ビル５階,6711-0970,天王寺区,,,,,,,,,,,,○,○,,135.5322406,34.67270868
718,社福）四天王寺福祉事業団　特養四天王寺たまつくり苑,543-0014,天王寺区玉造元町１―２９,,6763-4115,天王寺区,,,,,,,,,,,,○,○,,135.5324493,34.6726406
719,医療法人山口医院,543-0016,天王寺区餌差町１５―８,,6761-0287,天王寺区,,,,,,,○,,,,,○,○,,135.5263379,34.66877431
720,みきクリニック,543-0018,天王寺区空清町５－１８,ＭＲＴビル２Ｆ,6711-0761,天王寺区,,,,,,,,,,,,○,○,,135.5236058,34.67301852
721,栗本内科,543-0021,天王寺区東高津町１１―７,,6765-8101,天王寺区,,,,,,,,,,,,○,○,,135.5231171,34.6661685
722,医療法人山勝会　ほがらかクリニック,543-0021,天王寺区東高津町９－１１,,6777-8212,天王寺区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.5230044,34.66661093
723,医療法人出馬会出馬クリニック,543-0023,天王寺区味原町１３―３,,6761-1269,天王寺区,,,,,,,,,,,○,○,,,135.528815,34.66647435
724,ちかえレディースクリニック,543-0023,天王寺区味原町１４－４,レザックセントラルビル１Ｆ,6761-0735,天王寺区,,,,,,,,,,,○,,,,135.5279435,34.66617151
725,医療法人兵頭記念会　兵頭耳鼻咽喉科クリニック,543-0023,天王寺区味原町１３－８,サンエイ下味原第１ビル６Ｆ,6767-8741,天王寺区,,,,,,,,,,,,○,,,135.5285882,34.66616062
726,医療法人松翔会　松尾つるはしクリニック,543-0023,天王寺区味原町１３－９,サンエイ下味原第２ビル１階,6764-0858,天王寺区,,,,,,,,,,,,○,○,,135.528528,34.66619842
727,医療法人松徳会桃山クリニック,543-0027,天王寺区筆ケ崎町２―２２,ＶＩＴＡ　ＭＯＭＯＹＡＭＡ２階,6773-8306,天王寺区,,,,,,,,,,,,○,○,,135.527555,34.66246253
728,田辺整形外科　上本町クリニック,543-0027,天王寺区筆ケ崎町５－５２,,6774-1151,天王寺区,,,,,,,,,,,,○,○,,135.5234907,34.6646257
729,かおる小児科,543-0027,天王寺区筆ケ崎町５－５２,ウェルライフ上本町１０１,6775-1201,天王寺区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.5234907,34.6646257
730,旭泌尿器クリニック,543-0027,天王寺区筆ヶ崎町５－５２,ウェルライフ上本町クリニックプラザ１０９,6770-0505,天王寺区,,,,,,,,,,,,○,○,,135.5234907,34.6646257
731,医療法人太雅会　辻賢太郎クリニック,543-0027,天王寺区筆ヶ崎町５－５２,ウェルライフ上本町２０２,6772-3939,天王寺区,,,,,○,,,,,,○,○,○,,135.5234907,34.6646257
732,宋薬師堂醫院,543-0031,天王寺区石ケ辻町１４－１４,錢屋本舗ビル西館２階,4305-7010,天王寺区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.5220126,34.66476726
733,よねもと内科クリニック,543-0031,天王寺区石ケ辻町１８－２１,上六ときビル３Ｆ,6796-8633,天王寺区,,,,,,,,,,,,○,○,,135.5205172,34.66435669
734,上本町リウマチこまちクリニック,543-0031,天王寺区石ヶ辻町１３－１４,,6775-1025,天王寺区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.5213328,34.66423833
735,公益財団法人　聖バルナバ病院,543-0032,天王寺区細工谷１―３―１８,,6779-1600,天王寺区,○,,○,○,○,○,○,○,○,○,○,○,,○,135.5239984,34.66275155
736,医療法人湯川胃腸病院,543-0033,天王寺区堂ケ芝２―１０―２,,6771-4861,天王寺区,,,,,,,,,,,,○,○,,135.5267197,34.66003211
737,医療法人　谷口クリニック,543-0033,天王寺区堂ケ芝２－１３－２０,堂ヶ芝ビル,6776-5580,天王寺区,,,,,,,,,,,,○,○,,135.525927,34.65900638
738,医療法人なかたに整形外科クリニック,543-0033,天王寺区堂ケ芝１－１１－２０,,6777-8851,天王寺区,,,,,,,,,,,,○,,,135.5268559,34.65859008
739,医療法人天令会　乳腺外科ヨシダクリニック,543-0033,天王寺区堂ヶ芝１－１１－２３－２０１,,6711-0370,天王寺区,,,,,,,,,,,,○,○,,135.5271077,34.65855471
740,医療法人さいとう消化器内科クリニック,543-0033,天王寺区堂ヶ芝２－１３－２,エミネンス堂ヶ芝１Ｆ,6711-0215,天王寺区,,,,,○,,,,,,,○,○,,135.5263262,34.65877988
741,医療法人警和会　大阪警察病院,543-0035,天王寺区北山町１０－３１,,6771-6051,天王寺区,○,○,○,○,○,○,○,○,○,○,○,,○,○,135.5213532,34.65860832
742,社会福祉法人四天王寺福祉事業団　四天王寺きたやま苑,543-0035,天王寺区北山町９－６,,6773-1811,天王寺区,,,,,,,,,,,,○,,,135.5229571,34.65997815
743,上本町わたなべクリニック,543-0037,天王寺区上之宮町１―１５,,6772-0075,天王寺区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5207784,34.66266146
744,さわだクリニック,543-0041,天王寺区真法院町７－３１,五条ビル２０１,6776-8322,天王寺区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.5214327,34.65801265
745,医療法人福井クリニック,543-0041,天王寺区真法院町６－１２,真法院ＪＮビル２Ｆ,6771-2919,天王寺区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5221449,34.65801009
746,はらのむらクリニック,543-0041,天王寺区真法院町２１－３,,6776-0203,天王寺区,,,,,○,○,○,○,○,○,,○,○,,135.5200673,34.65705788
747,東産婦人科・眼科,543-0042,天王寺区烏ケ辻１―３―２３,２階,6772-2460,天王寺区,,,,,○,,○,,,,○,○,○,,135.5269289,34.65765053
748,吉田耳鼻咽喉科,543-0042,天王寺区烏ケ辻１―１―１,ＭＩビル６階,6773-6565,天王寺区,,,,,,,,,,,,○,,,135.5274058,34.65800496
749,医療法人上田内科クリニック,543-0042,天王寺区烏ケ辻１―１―１４,修和ビル２階,6773-2161,天王寺区,,,,,,,,,,,,○,○,,135.5265339,34.65784719
750,大谷クリニック,543-0042,天王寺区烏ケ辻１－３－２,,6771-3935,天王寺区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5273679,34.65736446
751,のむら泌尿器科,543-0042,天王寺区烏ケ辻１－３－２４,ケーズスクエア１０１号,6105-2525,天王寺区,,,,,,,,,,,,○,○,,135.5270496,34.65758973
752,医療法人一健会　ももだに皮ふ科クリニック,543-0042,天王寺区烏ケ辻１－３－１,熊谷ビル５階,6779-4112,天王寺区,,,,,,,,,,,,○,,,135.5273966,34.65745021
753,ひげのこどもクリニック,543-0042,天王寺区烏ヶ辻１－１－１,ＭＩビル４階,6774-1980,天王寺区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.5274058,34.65800496
754,医療法人朋晃会　おぎの整形外科医院,543-0043,天王寺区勝山３－１ー１８,１階,6775-5911,天王寺区,,,,,,,,,,,,○,,,135.524605,34.65483356
755,森田内科クリニック,543-0043,天王寺区勝山１―６―２８,セレネ１階,6770-1651,天王寺区,,,,,,,○,,○,○,,○,○,,135.5211261,34.65485643
756,ちゆこどもクリニック,543-0043,天王寺区勝山３－６－８,ＳＬビル２Ｆ,4305-6951,天王寺区,○,○,○,○,○,○,○,○,○,○,○,○,,○,135.5244558,34.65417403
757,医療法人　竹中消化器科・外科クリニック,543-0044,天王寺区国分町５―７,藤田ビル,6772-2970,天王寺区,,,,,○,,○,○,○,○,,○,○,,135.5241964,34.65232393
758,ゆきこ＆ようこレディースクリニック,543-0044,天王寺区国分町３－２６,４Ｆ,6770-0700,天王寺区,,,,,,,,,,,○,,,,135.5250077,34.65336102
759,医療法人池田クリニック,543-0044,天王寺区国分町３－２６,大松国分町ビル１階,6772-2100,天王寺区,,,,,,,,,,,,○,○,,135.5250077,34.65336102
760,ふなおペインクリニック,543-0044,天王寺区国分町１９－４　２Ｆ,,6771-1374,天王寺区,,,,,○,,,○,,,,○,○,,135.5243649,34.65060861
761,たにやまクリニック,543-0044,天王寺区国分町１９－４,寺田町クリニックビル２Ｆ,6771-7070,天王寺区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.5243649,34.65060861
