医療機関名,住所,予約受付番号,受付_Web,受付_来院,受付_電話,受付_電話_曜日,受付_電話_時間,受付_電話_備考,受入_一般の方,受入_かかりつけの方,受入_妊婦,受入_こども_対象年齢,経度,緯度,URL,自由記入欄,ファイザー実施機関,モデルナ実施機関,ファイザー製ワクチン予約空き情報,モデルナ製ワクチン予約空き情報
船場センタービル白石耳鼻咽喉科,大阪市中央区船場中央2-1-4　船場センタービル4号館403,06-6262-3345,,,1,月・火・木・金,10:00～12:00 15:00～17:00,,,1,1,12歳,135.5055635,34.68187852,https://www.shiraishi-ent.com/,,1,,,
医療法人医方会　奥見診療所,大阪市此花区伝法6-3-2-101,06-6468-9589,,,1,①月・火・水・金　②木・土,①9:00～12:00 16:30～19:00 ②9:00～12:00,,1,,1,12歳,135.4495972,34.6867323,https://www.ihoukai.jp/okumi-clinic/,,1,,,
はせがわ医院,大阪市住之江区南港東1-6-1-117,080-6384-5002,,,1,火・金,10:00～12:00 16:00～19:00,,1,1,1,12歳,135.445365,34.61290687,https://www.suminoe-med.or.jp/iin/hasegawaiin.html,,1,,,
医療法人　西川医院,大阪市阿倍野区天王寺町北2-16-10,06-6714-5217,,,1,,,かかりつけの親族、近隣の方は受入可,,1,1,,135.5256345,34.64547548,https://www.nlc1.net/,,1,,,
医療法人景福会　福井内科胃腸科クリニック,大阪市福島区福島7-19-11,,,1,,①月・火・水・金 ②土,①9:30～11:00 17:00～18:00 ②9:30～11:30,,,1,,,135.4849,34.70017467,,,1,,,
もりかわ内科クリニック,大阪市福島区玉川4-14-11,06-6443-1522,,1,1,月・火・水・金,16:00～19:00,,,1,1,12歳,135.4776663,34.69078076,https://morikawa-medical.jp/,,1,,,
京町堀内科外科クリニック,大阪市西区京町堀2丁目11-18　AXIS京町堀1階,090-7340-1107,,,1,,,,1,1,1,,135.4891344,34.68531961,https://kyomachibori-clinic.com/,,1,,,
奥町内科,大阪市西区靱本町1-11-7　信濃橋三井ビル1階,06-6444-1166,,,1,月～金,9:30～12:30 15:00～17:30,,1,1,1,,135.4966774,34.68397267,https://okmc.info/,,1,,,
加納内科,大阪市北区中之島6-2-27　中之島センタービル18階,06-6445-1103,,,1,月～金,10:00～12:00,かかりつけ以外の近隣の方の受入可,,1,,,135.4843547,34.68678444,https://kanohnaikanakanoshima55clinic.jp/,,1,,,
医療法人聖会　池澤クリニック,大阪市西区江戸堀1-15-27 アルテビル肥後橋2階,06-6445-8810,,,1,,,,1,1,1,16歳,135.495434,34.6914323,,,1,,,
ながお医院,大阪市西区江之子島1-6-5　エアフォルク阿波座ビル2階,06-6447-1753,,1,1,,,,,1,1,12歳,135.485481,34.68313386,,,1,,,
医療法人育誠会　寺田町こども診療所,大阪市天王寺区寺田町2-4-7　寺田町第2ビル2階,06-6775-2225,,,1,,診療時間内,,,1,1,12歳,135.5236668,34.64911712,https://www.tkclinic.or.jp/,,1,,,
医療法人美和会　平成野田クリニック,大阪市福島区吉野1-22-18,06-6448-5247,,,1,①月～金 ②土,①9:30～12:30 14:00～18:00 ②9:30～12:30,,1,1,,,135.4760457,34.69385723,https://heisei-noda.com/,,1,,,
医療法人敬詢会　永田医院,大阪市西区京町堀2-10-21,,1,,,,,医院HP参照(nagataclinic.com),1,1,1,12歳,135.4904792,34.68631972,https://nagataclinic.com/,,1,,,
耳鼻咽喉科ふじい医院,大阪市福島区玉川1-7-4,06-6448-8799,,,1,月～金,診療時間内,,,1,1,12歳,135.4809195,34.68884783,http://www.fukushima.osaka.med.or.jp/map/detail.asp?ID=78,,1,,,
浄正診療所,大阪市福島区福島2-10-23,06-6451-0565,,,1,①月・火・水・金 ②土,①9:30～10:00　16:00～17:00 ②9:30～10:00,,1,1,1,12歳,135.4865531,34.69496771,http://www.fukushima.osaka.med.or.jp/map/detail.asp?ID=13,(木)(日)は休診。,1,,02若干空き有り,
上福島診療所,大阪市福島区福島7-4-27,06-6451-3001,,1,1,月・火・金,9:00～12:00　16:00～18:00,,,1,1,,135.4853525,34.69739783,https://kamifukushima-clinic.ne.jp/,,1,,,
かしいクリニック,大阪市北区大淀中3-11-32,06-6451-8864,,1,1,①月～金 ②土,①9:30～13:00 16:00～18:00 ②9:30～13:00,接種は水曜午後のみ,,1,1,12歳,135.485818,34.70556138,http://www6.plala.or.jp/kashii-clinic/kclinicHP/index.html,,1,,,
水都メディカルクリニック,大阪市福島区福島1-1-51　堂島クロスウォーク4階,06-6451-9020,,,1,①月・火・水・金　②土,①9:30～13:00　15:30～19:00　②9:30～13:00,,1,1,,12歳,135.4895524,34.69487185,https://suito-medical.com/,,1,,02若干空き有り,
医療法人恵生会　吉本診療所,大阪市北区大淀中3-2-12,06-6453-0910,,1,1,①月・火・水・金 ②木・土,①9:00～12:00 16:00～19:00 ②9:00～12:00,,,1,1,12歳,135.483746,34.70312377,http://www.yoshimoto-cl.com/,,1,,,
医療法人千扇会　はった耳鼻咽喉科,大阪市福島区鷺洲5-6-69　フローレンスヴィラさぎす1階,,1,,,,,当院HPまたは当院アイチケットから,1,,1,12歳,135.4800223,34.69871225,https://hatta-ent.com/,,1,,,
ちかこどもくりにっく,大阪市福島区福島5-18-25　3階,06-6453-8341　,,,1,①月・火・木・金 ②水・土,①9:00～1200 15:00～18:00 ②9:00～12:00,,,1,1,12歳,135.484421,34.69600332,https://chika-kodomo.com/,,1,,,
松本クリニック,大阪市福島区鷺洲5-9-8,06-6453-8651,,,1,月・火・木・金,14:00～16:00,,,1,,,135.4780991,34.7002149,https://matsumoto-dmclinic.com/,,1,,,
医療法人康心会　消化器内視鏡クリニック大阪福島院,大阪市福島区福島5-18-25 阪神エヌケー共同ビル3階,06-6454-9000,,,1,月・火・水・金,16:00～19:00,一部一般の方の受入も可,,1,,,135.484721,34.69600332,https://osaka-icamera.com/,,1,,,
医療法人メディカル春日会　革嶋クリニック,大阪市北区梅田2-4-13　阪神産経桜橋ビル2階,06-6455-2000,,,1,月～金,12:30～14:00,,1,1,,,135.4936837,34.69814971,http://www.kawashima.or.jp/,,1,,,
医療法人優幸会　中村クリニック,大阪市福島区福島7-6-23-303,06-6455-8755,,,1,月～金,9:30～18:30,,,1,,12歳,135.4868817,34.69752007,https://osaka-nakamura-clinic.jp/,,1,,,
医療法人悠弘会　愛和クリニック,大阪市北区大淀中2丁目2番13号,06-6458-1571,,,1,①月・火・金 ②水・木・土,①12:30～13:00 19:00～20:00 ②12:30～13:00,,,1,,,135.4856168,34.7030797,https://www.aiwaclinic-osakakita.com/,,1,,,
林クリニック,大阪市福島区海老江7-20-8,,,1,,火～土,10:00～12:00 16:00～17:00,かかりつけ親族、近隣の方は受入可。1、2回目を当院で受けた方。,,1,1,12歳,135.4689963,34.69592596,http://www.fukushima.osaka.med.or.jp/map/detail.asp?ID=61,,1,,,
医療法人　堀井耳鼻咽喉科,大阪市港区池島一丁目1番20号,,1,1,,,,,,1,1,12歳,135.4483496,34.65912842,http://www.horii-ent.jp/,,1,,,
医療法人　森内科,大阪市此花区梅香3-33-14,06-6460-5671,,1,1,①月・火・水・金 ②木・土,①9:30～12:00 17:00～18:30 ②9:30～12:00,一部一般の受入可,,1,,12歳,135.4584544,34.68458906,https://morinaika-clinic.com/,,1,,,
松下医院,大阪市福島区大開2-1-17,,,1,,,,,,1,,,135.4716252,34.6918747,https://www.matsushitaiin.com/,,1,,,
医療法人燦惠会　首藤病院,大阪市福島区野田5-18-16,06-6461-1537,,,1,,,,1,,1,12歳,135.4719317,34.68606385,https://www.shuto.or.jp/,,1,,,
医療法人　板東医院,大阪市此花区春日出中2-18-22,,,1,,①月～金 ②土,①9:00～11:50 17:00～18:50 ②9:00～11:50,,1,,1,12歳,135.4492928,34.68041743,http://www.konohana-med.or.jp/k05bandou/423/,,1,,03予約可能,
公益財団法人淀川勤労者厚生協会附属　酉島診療所,大阪市此花区酉島4-2-3,06-6461-4459,,,1,月～金,13:30～16:30,,,1,,,135.4383476,34.68337006,http://www.k-hakuaikai.jp/torishima/,,1,,,
公益財団法人淀川勤労者厚生協会附属　伝法高見診療所,大阪市此花区高見2-5-9,06-6461-5605,,,1,月～金,14:00～16:00,,1,1,1,12歳,135.4569148,34.69036256,http://www.k-hakuaikai.jp/denpotakami/,予約電話受付：平日午後２時～４時,1,,03予約可能,
野田診療所,大阪市福島区野田3-13-44,06-6461-6770,,,1,,,,,1,,12歳,135.4752124,34.68817627,https://www.osaka-fukushima.coop/%E8%A8%BA%E7%99%82%E6%89%80%E3%81%AE%E3%81%94%E6%A1%88%E5%86%85/%E9%87%8E%E7%94%B0%E8%A8%BA%E7%99%82%E6%89%80/,,1,,01予約不可能,
川端内科クリニック,大阪市中央区日本橋1-16-16,06-6634-0003,,1,1,①月・火・木・金 ②水・土,①9:00～12:00 16:00～19:00 ②9:00～12:00,,,1,,12歳,135.507237,34.66663147,https://www.kawabata-clinic.com/,,1,,,
医療法人　宮下医院,大阪市此花区梅香3-22-14,06-6462-0304,,,1,月～土,9:00～12:00,,,1,,12歳,135.4562114,34.68331133,http://www.konohana-med.or.jp/s10miyashita/389/,,1,,,
松崎医院,大阪市住之江区粉浜3-3-23,06-6678-0330　,,,1,,,,,1,1,16歳,135.4882639,34.61665366,https://www.suminoe-med.or.jp/iin/matuzakiiin.html,,1,,,
医療法人　藤井内科医院,大阪市此花区西九条1-34-19,06-6462-1913,,,1,月～土,9:00～12:20,,1,1,,,135.4671089,34.68173689,http://fujii-naikaiin.com/,,1,,,
うえかわ医院,大阪市此花区梅香3-20-12,06-6462-2353,,1,1,①月～金 ②土,①9:00～12:00 17:00～19:00 ②9:00～12:00,,,1,,12歳,135.4566283,34.68338954,http://www.konohana-med.or.jp/s11uekawa/392/,,1,,,
医療法人北星会　鎌田クリニック,大阪市此花区春日出北3-1-4,,,1,,,,,,1,,,135.4480038,34.68022862,http://www.konohana-med.or.jp/k04kamata/420/,,1,,,
あおやま医院,大阪市福島区野田6-5-41　N-102,06-6462-3778,,1,1,月,14:30～15:00,,,1,,12歳,135.4698741,34.68399976,https://www.aoyamaiin-osaka.com/,,1,,,
医療法人　細川医院,大阪市平野区長吉長原3-7-15,06-6709-8210,,,1,①月・水・土 ②火・木・金,①9:00～12:00 ②9:00～12:00　17:30～19:30,,1,1,1,12歳,135.5691691,34.60270075,http://www.hosokawaiin.com/,,1,,,
医療法人西恵会　西川婦人科内科クリニック,大阪市中央区備後町4-1-3　御堂筋三井ビル1階,06-6201-0317,,,1,①月・火・水・金 ②木・土,①9:30～19:00 ②9:30～13:30,,1,1,1,12歳,135.5004516,34.68543737,https://www.nishikawa.or.jp/,,1,,,
栗栖クリニック,大阪市此花区高見2-4-18,06-6463-0901,,1,1,月～土,9:00～12:00,,1,1,1,12歳,135.4582024,34.69040026,http://www.konohana-med.or.jp/d05kurukuri/218/,,1,,,
すぎた内科クリニック,大阪市城東区鴫野東1-3-8　ハイツ丹洋1階,06-6180-3600,,,1,,,,,1,1,12歳,135.5460414,34.69483716,http://sugita-cl.com/,,1,,,
中村診療所,大阪市北区中之島2-3-18　中之島フェスティバルタワー18階,06-6231-0477,,,1,①月・火・木・金 ②水,①10:30～12:30 16:00～17:30 ②10:30～12:30,,1,,1,12歳,135.4970388,34.69326124,http://www.kita-med.or.jp/list/iryokikan/11-006f.htm,,1,,,
医療法人憲諒会　真鍋医院,大阪市東淀川区井高野3-3-61,06-6340-6195,,1,,,9:00～11:30 17:30～19:00,電話は問い合わせのみ,1,1,1,12歳,135.5456665,34.76479695,http://manabeclinic.net/,,1,,,
医療法人恵彰会　三和病院,大阪市鶴見区安田1-8-3,06-6912-6500,,,1,月～金,10:00～16:00,,1,1,1,12歳,135.5886128,34.70512648,https://www.tsurumi.osaka.med.or.jp/info_2/582.html,,1,,,
医療法人芳朱会　前田ファミリークリニック,大阪市福島区大開3-1-2-126,06-6464-1527,,,1,,,,1,1,,,135.4686586,34.68992539,https://maeda-familyclinic.com/,,1,,,
医療法人英仁会　大阪ブレストクリニック,大阪市福島区大開1-13-8,,1,,,,,予約はHPのみ(予定),,1,,,135.4732666,34.6935834,https://www.osaka-breast-clinic.com/,,1,,,
医療法人　島野医院,大阪市西区南堀江4-4-20 1F,06-6533-0020,,1,1,,,,,1,1,12歳,135.4862199,34.67142582,http://www.shimano-clinic.jp/,,1,,,
中島小児科診療院,大阪市福島区大開2-3-5 カンザキビル2階,06-6466-1500,,,1,月～土,9:00～12:00,,,1,1,12歳,135.4697833,34.6904657,http://www.nakajimaclinic.jp/,,1,,01予約不可能,
医療法人　石見医院,大阪市此花区伝法5-4-60,06-6468-9333,1,1,1,①月・火・水・金 ②木・土,①9:00～12:00 17:00～19:00 ②9:00～12:00,,1,1,1,12歳,135.4505718,34.68808684,http://www.ishimi.jp/,,1,,,
石原医院,大阪市阿倍野区阪南町2-19-24,06-6621-9616,,1,1,月・火・水・金・土,11:00～13:00,,,1,1,12歳,135.514673,34.63189004,https://www.ishihara-iin.com/,,1,,,
医療法人博寿会　横田医院,大阪市阿倍野区昭和町1-19-28,06-6622-1700,,1,1,月・火・水・金・土,9:00～12:00,当院初来院の方は事前の問診が必要（無料）,1,1,1,12歳,135.5198327,34.63237488,,,1,,02若干空き有り,
医療法人康和会　苗加病院,大阪市西淀川区姫里二丁目17番21号,06-6471-0015,,,1,,,,1,,,16歳,135.4590383,34.70811825,http://www.nouka-hp.jp/,,1,,,
医療法人　北野クリニック,大阪市西淀川区出来島1-4-18,06-6471-2916,,1,,,,かかりつけの親族は受入可,,1,,,135.4378351,34.70628209,https://kitano-clinic.or.jp/,,1,,,
潮見クリニック,大阪市阿倍野区阪南町1-35-8,,,1,,,,,1,1,1,12歳,135.5120232,34.63557343,https://shiomi-c.com/,,1,,,
医療法人全人会　谷本内科クリニック,大阪市西淀川区大和田4-11-5,06-6471-3851,,,1,月・金,9:00～12:00,,,1,1,,135.4459547,34.70791606,https://tanimoto-naika-cl.com/,,1,,,
医療法人　若杉診療所,大阪市西淀川区出来島2-9-5,06-6471-5104,,,1,,,,1,,,,135.4368281,34.70638026,https://nishiyodo-med.or.jp/medical_institution/wakasugi/,,1,,,
医療法人　森川医院,大阪市西淀川区姫島1-22-7,06-6471-5258,,1,1,,,,,1,,12歳,135.4565406,34.70426448,https://nishiyodo-med.or.jp/medical_institution/morikawa/,,1,,,
じくはら医院,大阪市西淀川区佃3-7-32,,,1,,,,,,1,,,135.4434896,34.71221471,https://nishiyodo-med.or.jp/medical_institution/jikuhara/,,1,,,
医療法人　辻診療所,大阪市西淀川区姫里2-1-22,,,1,,,,,,1,1,16歳,135.4617623,34.70669072,https://nishiyodo-med.or.jp/medical_institution/tsuji/,,1,,,
医療法人静風会　杉浦福町診療所,大阪市西淀川区福町2-8-7,06-6473-0117,,,1,月～土,9:00～12:00,,,1,,16歳,135.4427227,34.6971116,https://nishiyodo-med.or.jp/medical_institution/sugiura/,,1,,,
高岡診療所,大阪市西淀川区中島1-14-5,,,1,,,,,,1,1,12歳,135.4287397,34.70343837,https://nishiyodo-med.or.jp/medical_institution/takaoka/,,1,,,
一般財団法人淀川勤労者厚生協会附属　姫島診療所,大阪市西淀川区姫島2-13-20,06-6473-5151,,,1,月～金,9:00～16:30,,,1,1,,135.4531642,34.70249792,http://www.yodokyo.or.jp/himejima/,,1,,,
医療法人　大英診療所,大阪市西淀川区歌島2-3-2,06-6474-0361,,1,1,月・火・水・金,11:00～12:30 17:00～18:30,かかりつけ患者の家族は受入可,,1,,16歳,135.4634933,34.71303747,http://daiei-cl.com/,,1,,,
塚本耳鼻咽喉科,大阪市西淀川区千舟2-15-2　パッサージュⅡ1階,,1,,,,,予約は当院web参照　http://tsuka.atat.jp/i/f.php,,1,1,12歳,135.4519334,34.71254964,https://tsuka.atat.jp/i/f.php,,1,,03予約可能,
医療法人善心会　いせき整形外科,大阪市西淀川区大和田三丁目8番17号,,,1,,,,かかりつけ患者のみ,,1,,,135.4465492,34.7082357,https://nishiyodo-med.or.jp/medical_institution/iseki/,,1,,,
医療法人　佐々木産婦人科医院,大阪市平野区長吉六反3-21-13,06-6790-1320,,,1,,診療時間内,,,1,1,12歳,135.5829738,34.60320736,,,1,,,
青木クリニック,大阪市西淀川区出来島1-13-2 出来島駅前ビル3階,06-6476-7177,,,1,月・火・木・金,16:00～18:00,,,1,,12歳,135.4376044,34.70698377,https://nishiyodo-med.or.jp/medical_institution/aokic/,,1,,,
医療法人志紀会　希咲クリニック,大阪市淀川区十三東2丁目7番8号十三東駅前ビル3階,,1,,,,,,,1,,,135.4837824,34.71947705,https://kisaki-clinic.com/,,1,,,
たかやま整形外科,大阪市西淀川区姫里1-14-1 高友ビル ,06-6477-1177,,1,1,,,,,1,,,135.4618486,34.70638699,http://takayama-seikei.jp/,,1,,,
医療法人万代会　武田内科クリニック,大阪市阿倍野区松崎町2-9-5　セレスタ阿部野松崎103号,080-7005-1430,,,1,,,,1,1,1,12歳,135.51692,34.64247881,https://www.takeda-naika.jp/,,1,,,
えのもとクリニック,大阪市西区京町堀3-8-11,,,1,,,,,,1,,,135.4858426,34.68389167,https://enomotoclinic.net/,,1,,,
医療法人弘清会　四ツ橋診療所,大阪市西区新町1-22-9,,,1,,平日,9:30～13:00 14:00～16:30,3回目接種のみ,,1,,,135.4947325,34.67637575,https://www.yotsubashi-cl.com/,,1,,,
斧山医院,大阪市平野区平野市町3-5-25,06-6791-2035,,,1,,診療時間内,,,1,1,12歳,135.5563863,34.62522692,,,1,,,
医療法人治生会　石村クリニック,大阪市西区南堀江4-10-1,,,1,,,,,,1,,,135.4855452,34.67185373,http://www.ishimura-clinic.com/,,1,,,
医療法人　天野医院,大阪市西区北堀江4-6-8,,,1,,,,,,1,1,12歳,135.4839941,34.67317915,,,1,,,
西長堀やましたクリニック,大阪市西区新町4-4-2　NIKONIKOﾋﾞﾙ101,06-6535-1700,,,1,,,予約は電話のみ,,1,1,12歳,135.4871177,34.67646622,https://www.clinicosaka.com/,,1,,,
医療法人幸優会　上嶋内科消化器科クリニック,大阪市西区北堀江1-5-4 四ツ橋サンビル4階,06-6536-0700,,,1,,,,,1,1,,135.4965942,34.67364343,https://ueshima-clinic.jp/,,1,,,
医療法人翠真会　桃源会クリニック,大阪市西区立売堀1-7-18,06-6536-1277,,,1,月・火・金,15:00～17:00,,,1,1,12歳,135.4956689,34.68030148,https://www.tougenkai-clinic.jp/,,1,,,
医療法人優昌会　本城整形外科,大阪市西区境川1-1-31　境川メディカルセンタービル2階,090-8985-8011,,,1,月・火・水・金,9:30～12:30 16:30～19:30,,1,1,1,,135.4726805,34.66953076,https://orthonjo.com/,,1,,02若干空き有り,
ひらいけ内科,大阪市大正区平尾3-14-6,06-6537-9898,,1,1,,,,,1,,16歳,135.4742934,34.63961177,https://www.hiraike-naika.com/,２月14日・2月15日は臨時休診,1,,03予約可能,
医療法人良和会　松浦内科クリニック,大阪市西区西本町3-1-1 岡崎橋セントラルビル4階,06-6541-1188,1,,1,月・火・木・金,13:30～15:00,,1,,,16歳,135.4888747,34.68222959,https://matsuuran.com/,,1,,,
王内科胃腸科クリニック,大阪市西区西本町1-4-1 オリックス本町ビル2階,06-6541-9896,,,1,月～金,9:30～12:30 14:30～17:30,,,1,,,135.4977193,34.68265246,https://oh-naika.com/,,1,,,
しまだ循環器・糖尿病内科クリニック,大阪市旭区大宮2-17-14　アイリス千林大宮3階,06-6958-5575,1,,1,,診療時間内,,1,,1,12歳,135.5474474,34.72434743,https://shimada-cl.com/,,1,,,
めぐみ耳鼻咽喉科アレルギー科,大阪市西区新町4-6-23,06-6543-8733,,1,1,,,1/24～接種開始予定,1,1,1,12歳,135.4863928,34.67730467,https://megumi1133.jp/,,1,,,
荘田診療所,大阪市大正区泉尾1-8-16,,,1,,,,,1,1,1,,135.4747334,34.66308467,https://www.syouda-cl.com/,,1,,,
医療法人　一ノ名医院,大阪市大正区平尾4-22-13,06-6551-0286,1,1,1,,,一部一般の方の受入可,,1,1,12歳,135.4702733,34.64224032,https://www.ichinona-clinic.or.jp/,来院による予約となります,1,,02若干空き有り,
医療法人　田辺耳鼻咽喉科医院,大阪市大正区三軒家西1-16-2,,,1,,,,,,1,1,12歳,135.4783749,34.66577962,https://tanabe-jibika.net/,,1,,,
医療法人　北村診療所,大阪市大正区泉尾3-3-22,,,1,,,,,,1,,16歳,135.4733063,34.65728124,http://akclinic.jp/,,1,,,
医療法人謙和会　ほんしょう内科クリニック,大阪市大正区北村1-17-7,,1,1,,,,Web予約と来院予約両方、かかりつけのみで,,1,1,12歳,135.4690423,34.65049972,https://honsho-cl.com/,,1,,,
小正医院,大阪市大正区平尾3-16-15,06-6551-3417,,,1,,,,1,,1,12歳,135.4735948,34.63925914,https://komasa-clinic.com/,,1,,,
本山診療所,大阪市大正区泉尾1-2-19,06-6551-3812,,1,1,①月・火・水・金 ②木・土,①10:00～11:30 15:30～19:00 ②10:00～11:30,,,1,1,12歳,135.4764248,34.66320351,,,1,,,
船井医院,大阪市大正区南恩加島6-5-2,06-6551-4567,,1,1,①月・水・金 ②火・土,①9:00～12:00 16:30～19:00 ②9:00～12:00,,,1,,12歳,135.4684154,34.63527128,,,1,,,
柿原医院,大阪市大正区千島1-13-23,06-6551-6100,,1,1,①月・火・水・金　②土,①9:00～12:00 16:30～18:30 ②9:00～12:00,接種券が届いてからご連絡下さい,,1,,12歳,135.4734848,34.6549971,,木曜日　休診　土曜日　午後休診,1,,03予約可能,
マツオ整形外科,大阪市大正区泉尾3-4-12,,,1,,,,かかりつけの親族、1、2回目を当院にて接種した方の受入可,,1,1,,135.473413,34.65761822,,,1,,,
医療法人彰療会　大正病院,大阪市大正区三軒家東5-5-16,06-6552-0621,,1,,月～金,13:00～16:00,,,1,1,12歳,135.4757598,34.65993521,https://www.taisho-byoin.or.jp/,,1,,,
医療法人吉祥会　藤吉医院,大阪市大正区泉尾4-17-12　東洋プラザ泉尾1階,06-6552-0810,,,1,,,,,1,1,16歳,135.4709307,34.65684231,http://www.fujiyoshi-iin.jp/,,1,,,
医療法人得伊会　中山診療所,大阪市大正区泉尾3-13-5,06-6552-9400,,1,1,,,,1,1,1,16歳,135.4721729,34.65859113,,,1,,,
医療法人杏山会　山北内科クリニック,大阪市大正区平尾4-23-13,,,1,,,,,,1,1,12歳,135.4704514,34.64312556,http://www.yamakitanaikaclinic.jp/,,1,,,
さいとう整形外科,大阪市大正区三軒家西1-2-7,06-6554-3636,,,1,,,,1,1,1,12歳,135.478855,34.66628215,,,1,,,
横山医院,大阪市大正区三軒家西2-16-24,06-6555-2661,,1,1,,診療時間内,,,1,,,135.4756591,34.66456051,,,1,,,
しのだ整形外科,大阪市大正区千島2-4-4パルティちしまC7,,,1,,,,,,1,1,16歳,135.4728471,34.65134013,https://www.shinodaseikeigeka.com/,,1,,,
医療法人愛信会　石村整形外科,大阪市大正区小林西2-2-5,,,1,,,,,1,,1,12歳,135.4701766,34.64410068,http://ishimura225.la.coocan.jp/,,1,,02若干空き有り,
足立医院,大阪市大正区三軒家西3-6-3,06-6555-5276,,,1,,,,1,1,1,12歳,135.4739019,34.66450575,,,1,,,
医療法人　しまもとクリニック,大阪市大正区千島3-11-4,06-6555-8655,,,1,,,,1,,1,12歳,135.4715497,34.65091531,https://shimamotoclinic.com/,,1,,,
医療法人邦明会　樫原クリニック,大阪市大正区三軒家西2-18-5,06-6556-1170,,,1,①月・火・水・金 ②土,①9:00～12:30 ②9:00～12:00,クーポンが届いてから連絡ください,,1,,12歳,135.4754672,34.66340449,http://www.houmeikai.or.jp/,,1,,,
医療法人秀盛会　さくらクリニック,大阪市大正区三軒家西2-13-15,06-6556-1515,,,1,,診療時間内,,,1,,,135.4740933,34.66381425,,,1,,,
山北整形外科,大阪市大正区平尾4-23-14,06-6556-3533,,,1,①月・火・水・金 ②木・土,①8:30～12:30 16:30～19:30 ②8:30～12:30,当院にて1、2回目接種した方に限ります,,1,,,135.4704628,34.64319196,https://yamakita-seikei.com/,接種券が届いた方から予約可能となります,1,,03予約可能,
かもめクリニック第２,大阪市港区夕凪2-17-14　辻産業夕凪ビル3階,06-4301-7883,1,,1,,16:45～17:00,予約上限に達すると留守電に切り替わります,,1,1,12歳,135.4513327,34.66097237,http://www.minato-med.or.jp/clinic/kamome2.html,,1,,,
すまいるクリニック,大阪市浪速区日本橋西2丁目8番7号クレールタキタ201号室,06-6556-9893,,,1,月～金,10:00～13:00,,,1,1,12歳,135.5026934,34.65585995,http://www.minato-med.or.jp/clinic/kamome2.html,,1,,,
阪本医院,大阪市西成区鶴見橋3-1-12,06-6561-2020,,,1,,,1、2回目接種の方も受入可,,1,1,12歳,135.4900529,34.64623171,https://nishinari-med.or.jp/search/doc_info/area01_06.htm,,1,,,
医療法人　徳田クリニック,大阪市浪速区桜川2-11-28,06-6561-2660,,,1,①月・火・水・金 ②土,①9:30～19:00 ②9:30～12:00,,,1,1,12歳,135.4885604,34.66629255,http://www.naniwaku-ishikai.or.jp/clinic/tokudaclinic.html,,1,,,
医療法人希望の道　大村医院,大阪市西成区鶴見橋3-4-20,,,,,,,,,1,,,135.4879376,34.64542684,https://nishinari-med.or.jp/search/doc_info/area01_01.htm,,1,,,
安慶名医院,大阪市西成区鶴見橋2-4-2,06-6561-7680,,1,1,,,,,1,,,135.4930127,34.64649873,,,1,,,
医療法人孝尽会　透析クリニック大正橋,大阪市浪速区幸町3-8-18,06-6563-3700,,,1,月～金,9:00～16:00,,,1,,12歳,135.4815233,34.66802626,https://www.touseki-taisyobashi.jp/,,1,,,
医療法人若泉会　ふじもとクリニック,大阪市西成区鶴見橋2丁目6番21号アーバンハイツK,06-6563-3838,,,1,月～金,9:00～12:00 13:00～17:00,1/5より予約開始,1,1,1,,135.4928926,34.64611677,,,1,,,
日比野内科クリニック,大阪市鶴見区鶴見5-5-16 メゾンシュールプラージュ1階,06-6915-6311,,,1,,,,,1,1,12歳,135.5627941,34.70670479,https://www.tsurumi.osaka.med.or.jp/info_2/435.html,,1,,,
医療法人秀整会　長整形外科,大阪市住吉区山之内1-25-30　プレジール・アン・山之内1階,06-6607-8016,,1,1,①月～金 ②土,①9:00～12:30 16:30～19:30 ②9:00～12:30,電話・来院とも予約は診療時間内,1,1,1,12歳,135.5010188,34.59982315,,,1,,,
社会医療法人寿会　富永病院,大阪市浪速区湊町1-4-48,,1,,,,,,1,1,1,12歳,135.4945438,34.66715746,https://www.tominaga.or.jp/,,1,1,01予約不可能,01予約不可能
社会福祉法人ヒューマンライツ福祉協会　ツルミ診療所,大阪市西成区長橋2-5-29,06-6568-6131,,1,1,,,,,1,,12歳,135.4904113,34.64865968,https://nishinari-med.or.jp/search/doc_info/area01_08.htm,,1,,,
笹尾医院,大阪市港区池島1-2-14,,,1,,,,電話での問い合わせ不可,,1,,12歳,135.4482967,34.65854164,http://www.ne.jp/asahi/sasao/clinic/,,1,,01予約不可能,
医療法人ほのぼの会　にいつクリニック,大阪市港区港晴1-1-23,06-6571-0549,,,1,①月・火・木・金 ②水・土,①9:00～12:30 16:00～19:30 ②9:00～12:30,,,1,,12歳,135.4436619,34.65727185,http://www.honobono.or.jp/niitsu/,,1,,,
大塚医院,大阪市港区市岡2-6-21,06-6571-0977,,,1,,,原則、1～2回目を当院で接種した方で、一部電話にて受付可とします。,,1,1,12歳,135.4573724,34.66273396,http://www.minato-med.or.jp/clinic/otsuka.html,,1,,,
大沢診療所,大阪市港区田中1-13-28,06-6571-0996,,1,1,,,,,1,1,12歳,135.4505275,34.66530937,http://www.oosawa.server-shared.com/frame.htm,,1,,,
賀来医院,大阪市港区築港1-14-31,06-6571-2659,,1,1,,9：00～12：00,原則として、1、2回目を当院で実施した方,,1,1,12歳,135.4343606,34.65363964,http://www.minato-med.or.jp/clinic/kaku.html,,1,,,
